Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2024-06-22,19:30,LV Lights FC,1–1,Memphis,"1,657",Cashman Field,Trevor Wiseman,Match Report,
18,Sat,2024-06-22,19:30,Phx Rising,0–0,Charleston,"7,244",Wild Horse Pass Stadium,Abdou Ndiaye,Match Report,
18,Sat,2024-06-22,20:00,Louisville City,2–5,Rhode Island FC,"9,197",Lynn Family Stadium,Kyle Johnston,Match Report,
18,Wed,2024-06-26,19:00,Detroit City,1–2,B'ham Legion,"6,244",Keyworth Stadium,Abdou Ndiaye,Match Report,
,,,,,,,,,,,
19,Wed,2024-06-26,19:30,Rhode Island FC,3–0,El Paso,"3,481",Beirne Stadium,Nabil Bensalah,Match Report,
19,Fri,2024-06-28,19:30,Charleston,5–2,North Carolina,"3,876",Patriots Point Soccer Complex,Gerald Flores,Match Report,
19,Sat,2024-06-29,18:30,B'ham Legion,1–4,Louisville City,"5,011",Protective Stadium,Joshua Encarnacion,Match Report,
19,Sat,2024-06-29,19:00,Miami FC,0–4,Detroit City,"1,077",Riccardo Silva Stadium,Alyssa Nichols,Match Report,
19,Fri,2024-06-28,19:30,Memphis,5–1,Phx Rising,"2,775",AutoZone Park,Jeremy Scheer,Match Report,
19,Sat,2024-06-29,19:30,Loudoun Utd,2–0,TB Rowdies,"3,076",Segra Field,Luis Arroyo,Match Report,
19,Sat,2024-06-29,19:00,Orange County,0–2,Roots,"5,000",Orange Country Great Park Championship S...,Elton Garcia,Match Report,
19,Sat,2024-06-29,19:00,CS Switchbacks,1–0,Monterey Bay,"8,023",Weidner Field,Lorenzo Hernandez,Match Report,
19,Sat,2024-06-29,19:30,LV Lights FC,2–0,Pittsburgh,"1,893",Cashman Field,John Griggs,Match Report,
19,Sat,2024-06-29,20:00,Sac Republic,1–0,Hartford,"9,249",Heart Health Park,Muhammad Hassan,Match Report,
19,Sat,2024-06-29,20:00,San Antonio,2–3,New Mexico Utd,"6,625",Toyota Field,Mathew Corrigan,Match Report,
19,Wed,2024-07-03,19:30,Loudoun Utd,3–0,Hartford,"3,789",Segra Field,John Matto,Match Report,
19,Wed,2024-07-03,19:00,New Mexico Utd,2–0,Orange County,"12,147",Isotopes Park,Thomas Snyder,Match Report,
19,Wed,2024-07-03,19:30,Sac Republic,0–1,LV Lights FC,"8,988",Heart Health Park,Jeremy Scheer,Match Report,
19,Thu,2024-07-04,19:00,CS Switchbacks,1–0,FC Tulsa,"8,023",Weidner Field,Gerald Flores,Match Report,
,,,,,,,,,,,
20,Fri,2024-07-05,19:00,Charleston,2–0,B'ham Legion,"3,396",Patriots Point Soccer Complex,Lorenzo Hernandez,Match Report,
20,Fri,2024-07-05,19:30,Rhode Island FC,3–3,Indy Eleven,"4,728",Beirne Stadium,Ricardo Montero,Match Report,
20,Sat,2024-07-06,19:00,Detroit City,1–1,TB Rowdies,"6,403",Keyworth Stadium,Muhammad Hassan,Match Report,
20,Sat,2024-07-06,19:00,Pittsburgh,0–1,Monterey Bay,"5,018",Highmark Stadium,Joe Surgan,Match Report,
20,Sat,2024-07-06,19:30,North Carolina,4–1,Miami FC,"2,161",Sahlen's Stadium at WakeMed Soccer Park,Sergii Demianchuk,Match Report,
20,Sat,2024-07-06,19:00,Roots,1–0,Louisville City,"2,631",Pioneer Stadium,Calin Radosav,Match Report,
20,Sat,2024-07-06,19:00,Orange County,4–1,Memphis,"3,725",Orange Country Great Park Championship S...,John Griggs,Match Report,
